canonical,aliases
myrrh,"commiphora myrrha,commiphora molmol"
neem,"azadirachta indica"
neem bark,"azadirachta indica bark"
neem leaf,"azadirachta indica leaf"
nettle,"urtica dioica"
nettle root,"urtica dioica root"
noni,"morinda citrifolia"
nutmeg,"myristica fragrans"
oak bark,"quercus robur"
olive leaf,"olea europaea,oleuropein,olive leaf extract"
operculina turpethum,"ipomoea turpethum,convolvulus turpethum,indian jalap,turpeth root,nishoth,trivrit"
oregano,"origanum vulgare"
paeonia lactiflora,"Paeoniflorin"
papaya leaf,"carica papaya"
parsley,"petroselinum crispum"
parsley root,"petroselinum crispum root"
passionflower,"passiflora incarnata"
peony root,"paeonia lactiflora"
peppermint,"mentha piperita"
pine bark,"pinus pinaster,pycnogenol"
piper nigrum,"black pepper,piperine"
plantain,"plantago major"
plantain (narrowleaf),"plantago lanceolata"
psyllium,"Plantago ovata,ispaghul"
pomegranate,"punica granatum"
poplar,"populus tremuloides,populus spp."
prunus,"prunus serotina,wild cherry bark"
pulmonaria,"pulmonaria officinalis,lungwort"
puncture vine,"goathead,goat’s head,caltrop,small caltrops,devil’s thorn,devil’s weed,cathead,burra gokharu,gokshura,tribulus terrestris"
quercetin,"quercetin"
quercus alba,"white oak"
rauwolfia,"rauwolfia serpentina,indian snakeroot"
red clover,"trifolium pratense"
reishi mushroom,"ganoderma lucidum"
reishi spore,"ganoderma lucidum spore"
resveratrol,"polygonum cuspidatum"
rhamnus,"rhamnus purshiana,frangula,buckthorn"
rheum,"rheum palmatum,rhubarb root"
rhodiola,"rhodiola rosea"
ricinus,"ricinus communis,castor bean"
rosemary,"rosmarinus officinalis"
rosemary extract,"rosmarinus officinalis extract, rosmarinic acid"
rosehip,"rosa canina"
rooibos,"aspalathus linearis,rooibos red tea,aspalathus linearis tea"
rubus,"rubus idaeus,raspberry leaf"
rumex,"rumex crispus,yellow dock"
ruscus,"ruscus aculeatus,butcher's broom"
sage,"salvia officinalis"
sagebrush,"artemisia annua,sweet wormwood"
saffron,"crocus sativus"
saw palmetto,"serenoa repens"
soy,"soybean,tofu"
schisandra,"schisandra chinensis,schisandra berry"
scrophularia,"scrophularia nodosa,figwort"
Scutellaria baicalensis,"Baicalein"
scutellaria lateriflora,"skullcap"
sea buckthorn,"hippophae rhamnoides"
sesbania grandiflora,"agathi"
shiitake,"lentinula edodes,lentinus edodes"
slippery elm,"ulmus rubra,ulmus fulva"
soursop,"annona muricata,graviola"
spearmint,"mentha spicata"
spirulina,"arthrospira platensis"
st john's wort,"hypericum perforatum,hypericum"
stachys,"stachys officinalis,betony"
sumac,"rhus coriaria"
suma root,"pfaffia paniculata"
symphy tum (comfrey),"symphytum officinale,comfrey"
tabebuia,"tabebuia avellanedae,lapacho,pau d'arco"
tamarind,"tamarindus indica"
tea tree,"melaleuca alternifolia,melaleuca oil,tea tree oil"
thyme,"thymus vulgaris"
tilia,"tilia europaea,linden,tilia europa"
tulip tree bark,"liriodendron tulipifera"
turkey tail,"trametes versicolor"
turmeric,"curcuma longa,curcumin,curcuma aromatica,curcuma"
turnera,"turnera diffusa,damiana"
tussilago,"tussilago farfara,coltsfoot"
ulmus,"slippery elm,ulmus fulva"
usnea,"usnea barbata,old man's beard"
uva ursi,"arctostaphylos uva ursi,bearberry"
valerian,"valeriana officinalis"
verbascum,"verbascum thapsus,mullein"
verbena,"verbena officinalis,vervain"
viburnum opulus,"cramp bark"
viburnum prunifolium,"black haw"
vinca,"vinca minor,periwinkle"
viola,"viola tricolor,heartsease"
viscum,"viscum album,mistletoe"
vitex,"vitex agnus-castus,chaste tree"
watercress,"nasturtium officinale"
white willow,"salix alba"
willow bark,"salix alba"
yerba mate,"ilex paraguariensis"
yarrow,"achillea millefolium"
zanthoxylum,"zanthoxylum americanum,prickly ash"
zea mays,"zea mays,corn silk"
ziziphus,"ziziphus jujuba,jujube"
